iter	Passed	Remaining
0	155	154925
1	162	80993
2	168	55872
3	174	43451
4	179	35758
5	184	30532
6	193	27449
7	199	24689
8	206	22693
9	211	20933
10	216	19467
11	226	18655
12	233	17749
13	239	16878
14	247	16275
15	254	15630
16	258	14970
17	264	14407
18	266	13781
19	269	13204
20	272	12686
21	274	12197
22	276	11743
23	278	11320
24	280	10936
25	282	10567
26	283	10227
27	285	9923
28	287	9635
29	289	9369
30	291	9107
31	293	8864
32	294	8627
33	296	8424
34	298	8232
35	300	8057
36	302	7884
37	304	7705
38	305	7536
39	307	7385
40	309	7242
41	311	7109
42	313	6985
43	315	6859
44	317	6740
45	319	6620
46	320	6502
47	322	6390
48	323	6281
49	325	6181
50	327	6090
51	329	6000
52	331	5914
53	333	5835
54	334	5748
55	336	5664
56	337	5590
57	339	5520
58	341	5443
59	342	5370
60	344	5296
61	346	5235
62	347	5171
63	349	5104
64	350	5048
65	353	4996
66	355	4946
67	357	4893
68	358	4836
69	359	4779
70	361	4727
71	363	4679
72	364	4629
73	366	4583
74	368	4542
75	370	4504
76	372	4466
77	374	4423
78	376	4385
79	377	4342
80	379	4304
81	381	4270
82	382	4226
83	384	4195
84	387	4165
85	388	4128
86	390	4098
87	392	4070
88	394	4039
89	396	4009
90	397	3975
91	399	3945
92	401	3917
93	403	3884
94	404	3852
95	406	3824
96	407	3797
97	409	3770
98	411	3743
99	413	3718
100	415	3695
101	416	3669
102	418	3645
103	420	3624
104	422	3602
105	424	3580
106	426	3560
107	428	3540
108	430	3518
109	431	3494
110	433	3474
111	435	3454
112	437	3433
113	439	3412
114	440	3393
115	442	3375
116	443	3349
117	445	3332
118	447	3316
119	450	3305
120	452	3288
121	453	3267
122	455	3246
123	456	3225
124	458	3210
125	460	3193
126	462	3178
127	467	3182
128	469	3170
129	471	3155
130	473	3138
131	475	3125
132	477	3111
133	480	3104
134	482	3089
135	483	3074
136	485	3058
137	486	3041
138	488	3025
139	490	3010
140	493	3004
141	494	2990
142	496	2976
143	498	2962
144	499	2948
145	502	2936
146	503	2923
147	507	2919
148	509	2912
149	511	2901
150	513	2888
151	515	2877
152	518	2869
153	522	2869
154	525	2862
155	526	2850
156	528	2839
157	530	2827
158	532	2814
159	534	2807
160	537	2799
161	539	2790
162	541	2782
163	543	2771
164	545	2760
165	547	2752
166	550	2747
167	553	2741
168	555	2732
169	557	2721
170	559	2713
171	561	2702
172	563	2691
173	566	2690
174	568	2681
175	570	2671
176	572	2661
177	574	2651
178	575	2640
179	577	2630
180	579	2622
181	582	2616
182	584	2607
183	585	2597
184	587	2587
185	588	2576
186	590	2568
187	592	2558
188	595	2555
189	597	2547
190	599	2538
191	601	2530
192	602	2520
193	604	2512
194	606	2504
195	609	2499
196	612	2496
197	614	2487
198	615	2479
199	617	2470
200	619	2461
201	620	2452
202	623	2446
203	625	2440
204	627	2433
205	629	2425
206	630	2417
207	632	2408
208	634	2400
209	636	2393
210	638	2387
211	640	2381
212	642	2373
213	643	2364
214	644	2354
215	647	2348
216	649	2341
217	650	2333
218	652	2327
219	655	2322
220	657	2316
221	658	2308
222	660	2301
223	662	2295
224	663	2287
225	665	2278
226	667	2273
227	669	2267
228	671	2260
229	672	2252
230	674	2244
231	675	2236
232	676	2228
233	678	2222
234	680	2214
235	684	2215
236	686	2210
237	688	2203
238	689	2196
239	691	2190
240	693	2184
241	695	2176
242	697	2171
243	698	2165
244	700	2158
245	702	2151
246	703	2145
247	705	2140
248	707	2134
249	709	2128
250	711	2122
251	712	2116
252	714	2108
253	715	2101
254	717	2095
255	719	2090
256	720	2084
257	722	2078
258	724	2072
259	727	2069
260	728	2063
261	730	2057
262	732	2051
263	733	2045
264	735	2039
265	737	2034
266	739	2029
267	743	2032
268	745	2027
269	747	2021
270	749	2015
271	750	2009
272	752	2003
273	753	1997
274	759	2003
275	762	2000
276	764	1995
277	766	1990
278	768	1986
279	771	1983
280	773	1980
281	776	1976
282	778	1971
283	780	1966
284	781	1961
285	783	1956
286	786	1952
287	788	1948
288	790	1943
289	792	1939
290	794	1934
291	796	1930
292	798	1926
293	800	1921
294	802	1916
295	804	1912
296	806	1908
297	808	1904
298	809	1899
299	811	1892
300	813	1888
301	814	1883
302	816	1879
303	818	1875
304	820	1870
305	822	1866
306	824	1862
307	826	1856
308	827	1850
309	829	1845
310	831	1841
311	833	1837
312	835	1832
313	836	1828
314	838	1824
315	841	1820
316	843	1816
317	844	1812
318	846	1806
319	848	1802
320	849	1797
321	851	1793
322	853	1788
323	854	1782
324	856	1779
325	857	1773
326	859	1768
327	860	1763
328	862	1759
329	864	1754
330	866	1750
331	868	1746
332	869	1742
333	871	1738
334	873	1733
335	875	1729
336	877	1726
337	879	1721
338	881	1717
339	882	1713
340	884	1709
341	886	1705
342	887	1700
343	889	1696
344	891	1693
345	893	1689
346	895	1685
347	897	1682
348	899	1678
349	901	1674
350	903	1670
351	905	1666
352	906	1662
353	908	1658
354	910	1654
355	912	1650
356	914	1646
357	916	1642
358	917	1639
359	919	1635
360	921	1631
361	923	1627
362	925	1623
363	927	1619
364	929	1616
365	930	1612
366	932	1608
367	934	1605
368	936	1601
369	938	1597
370	939	1593
371	941	1590
372	943	1586
373	945	1582
374	947	1578
375	948	1574
376	950	1570
377	952	1566
378	953	1562
379	954	1558
380	956	1553
381	957	1549
382	959	1545
383	960	1541
384	962	1536
385	963	1532
386	965	1528
387	966	1524
388	968	1520
389	969	1516
390	971	1512
391	973	1509
392	975	1506
393	976	1502
394	978	1498
395	979	1494
396	980	1490
397	982	1486
398	984	1482
399	986	1479
400	988	1476
401	990	1473
402	992	1470
403	993	1466
404	995	1461
405	996	1458
406	998	1454
407	1000	1451
408	1001	1447
409	1003	1444
410	1005	1440
411	1007	1437
412	1009	1435
413	1012	1432
414	1014	1429
415	1016	1426
416	1018	1423
417	1020	1420
418	1023	1418
419	1025	1416
420	1027	1413
421	1029	1409
422	1030	1405
423	1032	1402
424	1033	1398
425	1034	1394
426	1037	1392
427	1039	1389
428	1041	1386
429	1043	1382
430	1044	1379
431	1045	1375
432	1047	1372
433	1049	1369
434	1052	1367
435	1055	1364
436	1057	1362
437	1059	1359
438	1061	1356
439	1062	1352
440	1064	1349
441	1067	1347
442	1069	1344
443	1071	1341
444	1073	1338
445	1075	1335
446	1077	1332
447	1078	1329
448	1080	1326
449	1091	1333
450	1093	1331
451	1095	1328
452	1101	1329
453	1103	1327
454	1105	1324
455	1107	1321
456	1111	1320
457	1116	1320
458	1118	1317
459	1120	1314
460	1121	1311
461	1123	1308
462	1126	1306
463	1130	1305
464	1133	1304
465	1136	1301
466	1137	1298
467	1144	1300
468	1146	1298
469	1148	1295
470	1150	1292
471	1152	1289
472	1155	1287
473	1160	1287
474	1162	1284
475	1163	1281
476	1165	1277
477	1166	1274
478	1168	1271
479	1172	1270
480	1174	1267
481	1176	1264
482	1177	1260
483	1179	1257
484	1181	1254
485	1183	1251
486	1185	1248
487	1187	1245
488	1190	1243
489	1191	1240
490	1193	1237
491	1195	1234
492	1197	1231
493	1200	1229
494	1203	1227
495	1204	1224
496	1206	1221
497	1208	1218
498	1210	1215
499	1212	1212
500	1215	1210
501	1217	1207
502	1219	1204
503	1221	1201
504	1222	1198
505	1224	1195
506	1226	1192
507	1228	1189
508	1231	1187
509	1233	1184
510	1235	1181
511	1236	1178
512	1238	1176
513	1240	1173
514	1243	1171
515	1249	1171
516	1251	1168
517	1252	1165
518	1254	1162
519	1256	1159
520	1258	1156
521	1261	1154
522	1263	1152
523	1265	1149
524	1266	1146
525	1268	1143
526	1270	1140
527	1272	1137
528	1276	1136
529	1278	1133
530	1280	1130
531	1282	1127
532	1283	1124
533	1285	1122
534	1289	1120
535	1291	1117
536	1293	1114
537	1294	1112
538	1296	1109
539	1298	1106
540	1301	1104
541	1304	1102
542	1306	1099
543	1308	1097
544	1310	1094
545	1312	1091
546	1314	1088
547	1316	1085
548	1321	1085
549	1323	1082
550	1325	1079
551	1326	1076
552	1328	1074
553	1330	1071
554	1332	1068
555	1334	1065
556	1336	1062
557	1338	1060
558	1339	1056
559	1342	1054
560	1343	1051
561	1345	1048
562	1347	1045
563	1349	1043
564	1351	1040
565	1352	1037
566	1354	1034
567	1356	1031
568	1358	1029
569	1360	1026
570	1361	1023
571	1363	1020
572	1365	1017
573	1367	1014
574	1369	1011
575	1370	1009
576	1372	1006
577	1374	1003
578	1376	1000
579	1377	997
580	1379	995
581	1381	992
582	1383	989
583	1385	986
584	1386	983
585	1387	980
586	1391	978
587	1393	976
588	1395	973
589	1397	970
590	1399	968
591	1400	965
592	1402	962
593	1405	960
594	1406	957
595	1408	954
596	1410	951
597	1411	948
598	1413	946
599	1415	943
600	1417	941
601	1419	938
602	1421	935
603	1423	933
604	1425	930
605	1427	928
606	1429	925
607	1431	922
608	1433	920
609	1434	917
610	1436	914
611	1438	911
612	1440	909
613	1441	906
614	1443	903
615	1445	901
616	1447	898
617	1448	895
618	1450	892
619	1451	889
620	1452	886
621	1454	884
622	1456	881
623	1458	878
624	1460	876
625	1462	873
626	1464	871
627	1465	868
628	1467	865
629	1469	863
630	1471	860
631	1472	857
632	1474	854
633	1476	852
634	1477	849
635	1479	846
636	1481	844
637	1483	841
638	1484	838
639	1486	836
640	1488	833
641	1490	830
642	1491	828
643	1494	826
644	1496	823
645	1497	820
646	1499	817
647	1501	815
648	1503	812
649	1504	810
650	1507	807
651	1509	805
652	1510	802
653	1512	800
654	1515	798
655	1517	795
656	1518	792
657	1520	790
658	1522	787
659	1524	785
660	1525	782
661	1527	779
662	1528	777
663	1530	774
664	1532	772
665	1534	769
666	1536	767
667	1537	764
668	1540	762
669	1542	759
670	1544	757
671	1546	754
672	1547	751
673	1549	749
674	1551	746
675	1553	744
676	1556	742
677	1557	739
678	1559	737
679	1560	734
680	1562	731
681	1564	729
682	1566	726
683	1568	724
684	1571	722
685	1572	719
686	1574	717
687	1576	714
688	1578	712
689	1579	709
690	1581	707
691	1584	705
692	1586	702
693	1587	700
694	1589	697
695	1591	695
696	1593	692
697	1595	690
